abstract,acknowledgements,altmetrics_score,altmetrics_total_outputs,article_type,author_contributions,conflict_of_interests,doi,funding,issue,keywords,open_practices,pdf_url,title,url,volume,year
"We often remember information without its source (e.g., word or picture format). This phenomenon has been studied extensively in long-term memory but rarely in the context of short-term working memory (WM), which leaves open the question of whether source amnesia can result from a lack of memory encoding rather than forgetting. This study provided a series of striking and novel demonstrations showing participants’ inability to report the source of a color representation immediately after that color was used in a task and stored in memory. These counterintuitive findings occurred when participants repeatedly judged the congruency between two color representations from one single object (i.e., color and identity of a color word) or two distinct objects (i.e., color of a square and identity of a color word) and then were unexpectedly asked to report the source of one color representation. These discoveries suggest that source information is often not stored in WM.",NA,23.05,13016762,Research Article,"The study concept was developed by all authors. H. Chen performed the programming, data collection and analysis, and most of the writing. B. Wyble and R. A. Carlson contributed writing and editing. All authors approved the manuscript for submission.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797617742158,"This project was funded by a grant from the National Natural Science Foundation of China (No. 31771201), a grant from the Humanities and Social Sciences Foundation of the Ministry of Education of China (No. 17YJA190001), fundamental research funds for the central universities (2017QNA3018) to H. Chen, and a grant from the National Science Foundation (1331073) to B. Wyble.",4,"short-term memory, false memory, episodic memory, attention, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/4x8tn/. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617742158. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797617742158,Is Source Information Automatically Available in Working Memory?,https://journals.sagepub.com/doi/full/10.1177/0956797617742158,29,2018
"Reciprocity and reputation are powerful tools for encouraging cooperation on a broad scale. Here, we highlight a potential side effect of these social phenomena: exacerbating economic inequality. In two novel economic games, we manipulated the amount of money with which participants were endowed and then gave them the opportunity to share resources with others. We found that people reciprocated more toward higher-wealth givers, compared with lower-wealth givers, even when those givers were equally generous. Wealthier givers also achieved better reputations than less wealthy ones and therefore received more investments in a social marketplace. These discrepancies were well described by a formal model of reinforcement learning: Individuals who weighted monetary outcomes, rather than generosity, when learning about interlocutors also most strongly helped wealthier individuals. This work demonstrates that reciprocity and reputation—although globally increasing prosociality—can widen wealth gaps and provides a precise account of how inequality grows through social processes.",NA,73.63,14033278,Research Article,"L. M. Hackel and J. Zaki designed the research, L. M. Hackel collected and analyzed the data, and L. M. Hackel and J. Zaki wrote the manuscript.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797617741720,This work was funded by the U.S. National Science Foundation (Award 1606959).,4,"social behavior, rewards, reciprocity, inequality, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/aj98f/. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617741720. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797617741720,Propagation of Economic Inequality Through Reciprocity and Reputation,https://journals.sagepub.com/doi/full/10.1177/0956797617741720,29,2018
"Escalation of commitment to a failing course of action occurs in the presence of (a) sunk costs, (b) negative feedback that things are deviating from expectations, and (c) a decision between escalation and de-escalation. Most of the literature to date has focused on sunk costs, yet we offer a new perspective on the classic escalation-of-commitment phenomenon by focusing on the impact of negative feedback. On the basis of the inaction-effect bias, we theorized that negative feedback results in the tendency to take action, regardless of what that action may be. In four experiments, we demonstrated that people facing escalation-decision situations were indeed action oriented and that framing escalation as action and de-escalation as inaction resulted in a stronger tendency to escalate than framing de-escalation as action and escalation as inaction (mini-meta-analysis effect d = 0.37, 95% confidence interval = [0.21, 0.53]).",NA,22.03,12808036,Research Article,"G. Feldman developed the study concept, designed and conducted the experiments, and analyzed the data. K. F. E. Wong provided guidance and critical feedback. G. Feldman drafted the final version of the manuscript, which was revised and approved by K. F. E. Wong.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797617739368,NA,4,"escalation of commitment, sunk costs, inaction effect, action effect, action-inaction framing, open data, open materials, preregistered","All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/c6wm5/ and https://osf.io/3uqx6/, respectively. The design and analysis plan for the pretest were preregistered at the Open Science Framework and can be accessed at https://osf.io/3uqx6/. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617739368. This article has received badges for Open Data, Open Materials, and Preregistration. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.",https://journals.sagepub.com/doi/pdf/10.1177/0956797617739368,When Action-Inaction Framing Leads to Higher Escalation of Commitment: A New Inaction-Effect Perspective on the Sunk-Cost Fallacy,https://journals.sagepub.com/doi/full/10.1177/0956797617739368,29,2018
"An optimistic learning bias leads people to update their beliefs in response to better-than-expected good news but neglect worse-than-expected bad news. Because evidence suggests that this bias arises from self-concern, we hypothesized that a similar bias may affect beliefs about other people’s futures, to the extent that people care about others. Here, we demonstrated the phenomenon of vicarious optimism and showed that it arises from concern for others. Participants predicted the likelihood of unpleasant future events that could happen to either themselves or others. In addition to showing an optimistic learning bias for events affecting themselves, people showed vicarious optimism when learning about events affecting friends and strangers. Vicarious optimism for strangers correlated with generosity toward strangers, and experimentally increasing concern for strangers amplified vicarious optimism for them. These findings suggest that concern for others can bias beliefs about their future welfare and that optimism in learning is not restricted to oneself.",NA,142.436,14158881,Research Article,"A. Kappes and M. J. Crockett developed the study concept. All authors contributed to the study design. Testing and data collection were performed by A. Kappes. A. Kappes analyzed and interpreted the data in collaboration with N. S. Faber and M. J. Crockett. A. Kappes drafted the manuscript, and all other authors provided critical revisions. All authors approved the final version of the manuscript for submission.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797617737129,"This work was supported by a Wellcome Trust Institutional Strategic Support Fund grant (204826/Z/16/Z) awarded to J. Savulescu, M. J. Crockett, N. S. Faber, and G. Kahane and by the Oxford Martin Programme for Collective Responsibility for Infectious Disease. J. Savulescu’s work on this article was funded by a Wellcome Trust grant (104848/Z/14/Z).",3,"optimism, learning bias, altruism, other-regarding preferences, open data, open materials, preregistered","All data and materials have been made publicly available via the Open Science Framework and can be accessed at osf.io/6b4ag. The design and analysis plans for Studies 2b and 3 were preregistered at the Open Science Framework (Study 2b: osf.io/a5bmw/register/565fb3678c5e4a66b5582f67; Study 3: osf.io/zmf4c/register/564d31db8c5e4a7c9694b2be). The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617737129. This article has received badges for Open Data, Open Materials, and Preregistration. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.",https://journals.sagepub.com/doi/pdf/10.1177/0956797617737129,Concern for Others Leads to Vicarious Optimism,https://journals.sagepub.com/doi/full/10.1177/0956797617737129,29,2018
"Moral outrage has traditionally served a valuable social function, expressing group values and inhibiting deviant behavior, but the exponential dynamics of Internet postings make this expression of legitimate individual outrage appear excessive and unjust. The same individual outrage that would be praised in isolation is more likely to be viewed as bullying when echoed online by a multitude of similar responses, as it then seems to contribute to disproportionate group condemnation. Participants (N = 3,377) saw racist, sexist, or unpatriotic posts with accompanying expressions of outrage and formed impressions of a single commenter. The same commenter was viewed more negatively when accompanied by a greater number of commenters (i.e., when outrage was viral vs. nonviral), and this was because viral outrage elicited greater sympathy toward the initial offender. We examined this effect and its underlying processes across six studies.",NA,271.63,14157671,Research Article,"T. Sawaoka developed the study concept. Both authors contributed to the study design. Testing, data collection, and data analysis were performed by T. Sawaoka. T. Sawaoka drafted the manuscript, and B. Monin provided critical revisions. Both authors approved the final version of the manuscript for submission.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797618780658,NA,10,"morality, outrage, social judgment, social justice, punishment, open data, open materials, preregistered","All data and materials have been made publicly available via the Open Science Framework (OSF) and can be accessed at https://osf.io/qtsx2/. The design and analysis plans for Studies 4a and 4b were preregistered at the OSF and can be accessed at https://osf.io/kges3/. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797618780658. This article has received badges for Open Data, Open Materials, and Preregistration. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.",https://journals.sagepub.com/doi/pdf/10.1177/0956797618780658,The Paradox of Viral Outrage,https://journals.sagepub.com/doi/full/10.1177/0956797618780658,29,2018
"Young adulthood is a developmental phase when individuals must navigate a changing social milieu that involves considering how their decisions affect close others such as parents and peers. To date, no empirical work has directly evaluated how young adults weigh these relationships against one another. We conducted a preregistered experiment in which we pitted outcomes for parents against outcomes for friends. Participants (N = 174, ages 18–30 years) played two runs of the Columbia Card Task—one in which gains benefited a parent and losses were incurred by a friend and another in which the opposite was true. We also tested whether age, relationship quality, and reward type earned for parents and friends (simulated vs. real) acted as moderating influences on parent–friend prioritization. Results showed that individuals were more likely to make decisions that benefited a parent at the expense of a friend. Relationship quality and reward type moderated this effect, whereas age did not.",NA,892.828,14098461,Research Article,"J. F. Guassi Moreira and J. A. Silvers developed the study concept with feedback from S. M. Tashjian. J. F. Guassi Moreira, S. M. Tashjian, and J. A. Silvers designed the study. Data were collected by J. F. Guassi Moreira and S. M. Tashjian. Data were first prepared and analyzed by J. F. Guassi Moreira under the supervision of J. A. Silvers and later independently replicated by S. M. Tashjian. All authors interpreted the results. J. F. Guassi Moreira drafted the first version of the manuscript with extensive input from J. A. Silvers. S. M. Tashjian, A. Galván, and J. A. Silvers all provided critical revisions. All the authors approved the final manuscript for submission.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797618778497,NA,9,"development, decision making, young adulthood, open data, open materials, preregistered","All data and materials have been made publicly available via the Open Science Framework (OSF) and can be accessed at osf.io/b5sar/ and osf.io/c8c6c/, respectively. The design and analysis plans for the experiments were preregistered at the OSF and can be accessed at https://osf.io/rq96w/registrations/. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797618778497. This article has received badges for Open Data, Open Materials, and Preregistration. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.",https://journals.sagepub.com/doi/pdf/10.1177/0956797618778497,Parents Versus Peers: Assessing the Impact of Social Agents on Decision Making in Young Adults,https://journals.sagepub.com/doi/full/10.1177/0956797618778497,29,2018
"Abel and Kruger (2010) found that the smile intensity of professional baseball players who were active in 1952, as coded from photographs, predicted these players’ longevity. In the current investigation, we sought to replicate this result and to extend the initial analyses. We analyzed (a) a sample that was almost identical to the one from Abel and Kruger’s study using the same database and inclusion criteria (N = 224), (b) a considerably larger nonoverlapping sample consisting of other players from the same cohort (N = 527), and (c) all players in the database (N = 13,530 valid cases). Like Abel and Kruger, we relied on categorical smile codings as indicators of positive affectivity, yet we supplemented these codings with subjective ratings of joy intensity and automatic codings of positive affectivity made by computer programs. In both samples and for all three indicators, we found that positive affectivity did not predict mortality once birth year was controlled as a covariate.",NA,100.85,14123595,Research Article,NA,The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article.,https://doi.org/10.1177/0956797617734315,NA,1,"emotion, affect, longevity, life outcomes, replication, open data, open materials, preregistered","All data have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/8y2ga/. All materials are publicly available at the Baseball Reference website and can be accessed at https://www.baseball-reference.com/. The design and analysis plans for the study were preregistered at the Open Science Framework (https://osf.io/cbvhw/ and https://osf.io/yrpjk/). The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617734315. This article has received badges for Open Data, Open Materials, and Preregistration. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.",https://journals.sagepub.com/doi/pdf/10.1177/0956797617734315,Does Smile Intensity in Photographs Really Predict Longevity? A Replication and Extension of Abel and Kruger (2010),https://journals.sagepub.com/doi/full/10.1177/0956797617734315,29,2018
"Can one’s ability to perform an action, such as hitting a softball, influence one’s perception? According to the action-specific account, perception of spatial layout is influenced by the perceiver’s abilities to perform an intended action. Alternative accounts posit that purported effects are instead due to nonperceptual processes, such as response bias. Despite much confirmatory research on both sides of the debate, researchers who promote a response-bias account have never used the Pong task, which has yielded one of the most robust action-specific effects. Conversely, researchers who promote a perceptual account have rarely used the opposition’s preferred test for response bias, namely, the postexperiment survey. The current experiments rectified this. We found that even for people naive to the experiment’s hypothesis, the ability to block a moving ball affected the ball’s perceived speed. Moreover, when participants were explicitly told the hypothesis and instructed to resist the influence of their ability to block the ball, their ability still affected their perception of the ball’s speed.","The authors would like to thank Chaz Firestone for his assistance with developing the survey, Brian Scholl for his suggestion to include an unrelated manipulation, and both for the suggestion to call it the Pong effect instead of the paddle effect. J. K. Witt dedicates this article to the memory of her father, Arnold Witt.",56.746,13593005,Research Article,NA,The authors declared that they had no conflicts of interest with respect to their authorship or the publication of this article.,https://doi.org/10.1177/0956797617730892,This work was supported by grants from the National Science Foundation to J. K. Witt (BCS-1348916 and BCS-1632222).,1,"spatial perception, response bias, perception and action, embodied perception, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/akp9n/. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797617730892. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797617730892,Is There a Chastity Belt on Perception?,https://journals.sagepub.com/doi/full/10.1177/0956797617730892,29,2018
"People differ in how specifically they separate affective experiences into different emotion types—a skill called emotion differentiation or emotional granularity. Although increased emotion differentiation has been associated with positive mental health outcomes, little is known about its development. Participants (N = 143) between the ages of 5 and 25 years completed a laboratory measure of negative emotion differentiation in which they rated how much a series of aversive images made them feel angry, disgusted, sad, scared, and upset. Emotion-differentiation scores were computed using intraclass correlations. Emotion differentiation followed a nonlinear developmental trajectory: It fell from childhood to adolescence and rose from adolescence to adulthood. Mediation analyses suggested that an increased tendency to report feeling emotions one at a time explained elevated emotion differentiation in childhood. Importantly, two other mediators (intensity of emotional experiences and scale use) did not explain this developmental trend. Hence, low emotion differentiation in adolescence may arise because adolescents have little experience conceptualizing co-occurring emotions.","The authors thank China Rose Marie Bolden, Eliot Fearey, Megan Garrad, Tierra Gogue-Garcia, Kevin Kent, and Christina Uhrig for assistance with data collection and Emily Bernstein for helpful comments.",156.95,14156489,Research Article,"All authors collaboratively developed the study design. E. C. Nook programmed the computer tasks. E. C. Nook, S. F. Sasse, and H. K. Lambert collected the data. E. C. Nook analyzed the data. E. C. Nook and L. H. Somerville interpreted the results. E. C. Nook and L. H. Somerville drafted the manuscript, and all other authors provided critical revisions. All the authors approved the final manuscript for submission.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797618773357,This project was supported by a National Institute of Mental Health grant to K. A. McLaughlin (R01-MH103291) and a National Science Foundation Graduate Research Fellowship to E. C. Nook (DGE1144152).,8,"emotion, emotion granularity, emotion differentiation, development, adolescence, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/8yufm/. The design and analysis plans for the experiment were not preregistered. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797618773357. This article has received badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797618773357,The Nonlinear Development of Emotion Differentiation: Granular Emotional Experience Is Low in Adolescence,https://journals.sagepub.com/doi/full/10.1177/0956797618773357,29,2018
"There are many instances, both in professional domains such as law, forensics, and medicine and in everyday life, in which an effect (e.g., a piece of evidence or event) has multiple possible causes. In three experiments, we demonstrated that individuals erroneously assume that evidence that is equally predicted by two competing hypotheses offers no support for either hypothesis. However, this assumption holds only in cases in which competing causes are mutually exclusive and exhaustive (i.e., exactly one cause is true). We argue that this reasoning error is due to a zero-sum perspective on evidence, wherein people assume that evidence that supports one causal hypothesis must disconfirm its competitor. Thus, evidence cannot give positive support to both competitors. Across three experiments (N = 49, N = 193, N = 201), we demonstrated that this error is robust to intervention and generalizes across several different contexts. We also ruled out several alternative explanations of the bias.","The views and conclusions contained in this article are those of the authors and should not be interpreted as necessarily representing the official policies, either expressed or implied, of the Office of the Director of National Intelligence, Intelligence Advanced Research Projects Activity, or the U.S. government. The U.S. government is authorized to reproduce and distribute reprints for governmental purposes notwithstanding any copyright annotation herein.",21.03,14015503,Research Article,"All the authors developed the study concept and contributed to the study design. Testing and data collection were performed by T. D. Pilditch. T. D. Pilditch analyzed and interpreted the data under the supervision of D. Lagnado. T. D. Pilditch drafted the manuscript, and D. Lagnado and N. Fenton provided critical revisions. N. Fenton provided the mathematical proofs in the Supplemental Material available online. All the authors approved the final manuscript for submission.",The author(s) declared that there were no conflicts of interest with respect to the authorship or the publication of this article.,https://doi.org/10.1177/0956797618818484,"This research is based on work supported in part by the Office of the Director of National Intelligence, Intelligence Advanced Research Projects Activity, under Contract 2017-16122000003.",2,"zero sum, intuitive judgment, cognitive bias, evidential reasoning, probabilistic reasoning, open data, open materials",All data and materials have been made publicly available via the Open Science Framework and can be accessed at osf.io/wnu9f. The design and analysis plans for the experiments were not preregistered. The complete Open Practices Disclosure for this article can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797618818484. This article has received the badges for Open Data and Open Materials. More information about the Open Practices badges can be found at http://www.psychologicalscience.org/publications/badges.,https://journals.sagepub.com/doi/pdf/10.1177/0956797618818484,The Zero-Sum Fallacy in Evidence Evaluation,https://journals.sagepub.com/doi/full/10.1177/0956797618818484,30,2019
