title,publication_year,article_type,volume,issue,doi,abstract,keywords,url,pdf_url_download,peer_review_url,conflict_of_interests,acknowledgements,data_acessibility,data_accessibility_links,funding_info,author_contributions,views,downloads,altmetrics_score,altmetrics_total_outputs
Does the Survival Processing Memory Advantage Translate to Serial Recall?,,,6,1,,,,,,,,,,,,,,,,
Why Self-Report Measures of Self-Control and Inhibition Tasks Do Not Substantially Correlate,,,6,1,,,,,,,,,,,,,,,,
Conditioning is More Than Association Formation: On the Different Ways in Which Conditioning Research is Valuable for Clinical Psychology,,,6,1,,,,,,,,,,,,,,,,
Group Influences on Children’s Delay of Gratification: Testing the Roles of Culture and Personal Connections,,,6,1,,,,,,,,,,,,,,,,
Under What Conditions Does Prosocial Spending Promote Happiness?,,,6,1,,,,,,,,,,,,,,,,
Response Time Concealed Information Test on Smartphones,,,6,1,,,,,,,,,,,,,,,,
Are We Wasting a Good Crisis? The Availability of Psychological Research Data after the Storm,,,1,1,,,,,,,,,,,,,,,,
What are Replicable Aspects of the Broader Autism Phenotype among College Students?,,,6,1,,,,,,,,,,,,,,,,
"Recalling Experiences: Looking at Momentary, Retrospective and Global Assessments of Relationship Satisfaction",,,6,1,,,,,,,,,,,,,,,,
Implicit Preferences for Straight People over Lesbian Women and Gay Men Weakened from 2006 to 2013,,,1,1,,,,,,,,,,,,,,,,
Processing the Word Red and Intellectual Performance: Four Replication Attempts,,,6,1,,,,,,,,,,,,,,,,
Using Mechanical Turk to Assess the Effects of Age and Spatial Proximity on Inattentional Blindness,,,1,1,,,,,,,,,,,,,,,,
A New Replication Norm for Psychology,,,1,1,,,,,,,,,,,,,,,,
Why Condition-Based Regression Analysis (CRA) is Indeed a Valid Test of Self-Enhancement Effects: A Response to Krueger et al. (2017),,,4,1,,,,,,,,,,,,,,,,
Chapter 7. Paths to Carbon Neutrality: Lessons from California,,,2,1,,,,,,,,,,,,,,,,
Chapter 8. Bending the Curve and Closing the Gap: Climate Justice and Public Health,,,2,1,,,,,,,,,,,,,,,,
The Effect of Concrete Wording on Truth Judgements: A Preregistered Replication and Extension of Hansen & Wänke (2010),,,5,1,,,,,,,,,,,,,,,,
On the Assumptions That We Make About the World Around Us: A Conceptual Framework for Feature Transformation Effects,,,5,1,,,,,,,,,,,,,,,,
Don’t Forget the Model in Your Model-based Reliability Coefficients: A Reply to McNeish (2018),,,5,1,,,,,,,,,,,,,,,,
The Case for Measuring and Reporting Bilingualism in Developmental Research,,,5,1,,,,,,,,,,,,,,,,
The Ontogenesis of Action Syntax,,,5,1,,,,,,,,,,,,,,,,
"Exploring Mechanisms of Narrative Persuasion in a News Context: The Role of Narrative Structure, Perceived Similarity, Stigma, and Affect in Changing Attitudes",,,5,1,,,,,,,,,,,,,,,,
A Perspective on the Relevance and Public Reception of Psychological Science,,,5,1,,,,,,,,,,,,,,,,
A step-by-step guide to collecting and analyzing long-format speech environment (LFSE) recordings,,,5,1,,,,,,,,,,,,,,,,
A Comprehensive Examination of Narcissists’ Self-Perceived and Actual Socioemotional Cognition Ability,,,5,1,,,,,,,,,,,,,,,,
"Do Narcissists Benefit from Materialistic Pursuits? Examining the Relation Between Narcissistic Tendencies, Extrinsic Goals, and Well-Being",,,5,1,,,,,,,,,,,,,,,,
