title,publication_year,article_type,volume,issue,doi,abstract,keywords,url,pdf_url_download,conflict_of_interests,acknowledgements,materials,materials_urls,data_accessibility_statement,data_accessibility_links,additional_files,additional_files_links,funding_info,author_contributions,views,downloads
Good News about Bad News: Gamified Inoculation Boosts Confidence and Cognitive Immunity Against Fake News,2020,Research article,3,1,10.5334/joc.91,"Recent research has explored the possibility of building attitudinal resistance against online misinformation through psychological inoculation. The inoculation metaphor relies on a medical analogy: by pre-emptively exposing people to weakened doses of misinformation cognitive immunity can be conferred. A recent example is the Bad News game, an online fake news game in which players learn about six common misinformation techniques. We present a replication and extension into the effectiveness of Bad News as an anti-misinformation intervention. We address three shortcomings identified in the original study: the lack of a control group, the relatively low number of test items, and the absence of attitudinal certainty measurements. Using a 2 (treatment vs. control) × 2 (pre vs. post) mixed design (N = 196) we measure participants’ ability to spot misinformation techniques in 18 fake headlines before and after playing Bad News. We find that playing Bad News significantly improves people’s ability to spot misinformation techniques compared to a gamified control group, and crucially, also increases people’s level of confidence in their own judgments. Importantly, this confidence boost only occurred for those who updated their reliability assessments in the correct direction. This study offers further evidence for the effectiveness of psychological inoculation against not only specific instances of fake news, but the very strategies used in its production. Implications are discussed for inoculation theory and cognitive science research on fake news.","Judgment, Decision making: Reasoning",https://www.journalofcognition.org/articles/10.5334/joc.91/,https://www.journalofcognition.org/articles/10.5334/joc.91/galley/231/download/,The authors have no competing interests to declare.,"We would like to thank Ruurd Oosterwoud, DROG and Gusmanson Design for their efforts in helping to create the Bad News game.",NA,NA,The raw dataset necessary to reproduce the analyses reported in this paper can be retrieved from https://figshare.com/s/818c1a38da814b0bdf20.,https://figshare.com/s/818c1a38da814b0bdf20,The additional files for this article can be found as follows: Supplementary Table 1 Average reliability (pre-post) judgments overall and for each fake news badge by experimental condition. DOI: https://doi.org/10.5334/joc.91.s1 Supplementary Table 2 Average confidence (pre-post) judgments overall and for each fake news badge by experimental condition. DOI: https://doi.org/10.5334/joc.91.s2 Supplementary Figure 1 Mean reliability judgments by condition (pre-test). DOI: https://doi.org/10.5334/joc.91.s3 Supplementary Figure 2 Mean reliability judgments by condition (post-test). DOI: https://doi.org/10.5334/joc.91.s4 Supplementary Figure 3 Mean confidence judgments by condition (pre-test). DOI: https://doi.org/10.5334/joc.91.s5 Supplementary Figure 4 Mean confidence judgments by condition (post-test). DOI: https://doi.org/10.5334/joc.91.s6 Supplementary Figure 5 All 18 fake news items participants viewed pre-post by badge. DOI: https://doi.org/10.5334/joc.91.s7 Supplementary Figure 6 Scree plot for reliability judgments following PCA. DOI: https://doi.org/10.5334/joc.91.s8 Supplementary Figure 7 Scree plot for confidence judgments following PCA. DOI: https://doi.org/10.5334/joc.91.s9,"https://doi.org/10.5334/joc.91.s1, https://doi.org/10.5334/joc.91.s2, https://doi.org/10.5334/joc.91.s3, https://doi.org/10.5334/joc.91.s4, https://doi.org/10.5334/joc.91.s5, https://doi.org/10.5334/joc.91.s6, https://doi.org/10.5334/joc.91.s7, https://doi.org/10.5334/joc.91.s8, https://doi.org/10.5334/joc.91.s9",The authors thank the University of Cambridge and the Bill and Melinda Gates Foundation for funding this research.,"M.B. and J.R. designed the study, developed the items and measures, and carried out the study. M.B. conducted the data analysis and wrote the majority of the paper. J.R. developed the content of the Bad News game and wrote part of the paper. S.v.d.L. wrote part of the paper, conducted data analysis, co-developed the Bad News game, and supervised the development of the survey items and study design.",399,67
Spatial Integration and the Underlying Mechanisms of Cross-Modality Interference,2018,Research article,1,1,10.5334/joc.5,"Researchers have often utilized the classic Stroop task as a measure of selective attention processes. While it is largely agreed upon that semantic interference plays a role in the classic task, the role of attentional processes is less clear. The picture is further muddied when variations on the classic task are used. For example, the cross-modal Stroop task, in which one names the color of visual items while ignoring distracting auditory color words, typically leads to smaller sized interference effects and little or no facilitation when compared to the classic task. Furthermore, relationship(s) with working memory capacity have only been found in the classic version. We examined whether these differences are due to a methodological factor; namely, spatial integration versus separation of the target and distractor locations. We conducted four experiments manipulating the location of auditory distractors within the cross-modal Stroop task, and found that the location of the distractors had little to no impact on the size of the effect. This lack of an effect of location implies that the mechanisms contributing to the cross-modal Stroop effect are not the same as those of the classic Stroop effect, and that the role of spatial attention in cross-modal Stroop is limited. The implications of a unique role for auditory distractors is considered as well, and supports the conclusion that interference in the cross-modal Stroop effect is the result of a combination of semantic interference and modality-specific interference.","Stroop effect, cross-modal Stroop, spatial attention, goal maintenance, cross-modal distraction, auditory distraction",https://www.journalofcognition.org/articles/10.5334/joc.5/,https://www.journalofcognition.org/articles/10.5334/joc.5/galley/12/download/,The authors have no competing interests to declare.,NA,"These experiments consisted of two cross-modal (CM) Stroop tasks (within-subjects): Speaker CM Stroop and Headphones CM Stroop. In Speaker CM Stroop, the auditory distractor was presented from a pair of speakers located next to the computer screen, while in Headphones CM Stroop, the auditory distractors were heard from a set of over-the-ear headphones. The order of the two tasks (between-subjects) was counterbalanced to control for any potential impact of task order on performance. Congruent, incongruent, and control trials were presented to examine both interference and facilitation (within-subjects). Each task was completed in a separate block and began with nine practice trials followed by 162 experimental trials. The proportion of congruent, incongruent, and control trials was equal in both tasks – each auditory distraction condition was presented 54 times – and randomly intermixed. Squares were used as the to-be-named color carrying stimulus, and the auditory color words were a recorded female voice presented at a subjectively equal volume. There were three colors used throughout the entire experiment: red, blue, and green. These colors created six incongruent color combinations (red-green, red-blue, blue-red, blue-green, green-red, and green-blue) – each used nine times in each task – as well as three possible congruent pairings (red-red, blue-blue, and green-green) – seen 18 times in each task. Each trial began with a fixation cross in the center of the screen which remained for 500 ms followed by a color square. The onset of the sounds and color squares were simultaneous (there was no auditory distractor for control trials in Experiment 1, and in Experiment 2 it was a 500 ms tone). Participants were instructed to name the color of the square as quickly and accurately as possible and were asked not to wait for the auditory word to finish before initiating the response. A microphone connected to a response box logged the vocal onsets and response times of the participants. After the participant named the color, the experimenter answered three questions: what response was given by the participant, whether a false start had taken place (the microphone was triggered before the participant was able to give their response), and whether they had made an error in answering the first two questions. The experiments were presented using E-Prime 2.10 software on a Dell Dimension desktop computer with a 17-inch monitor. Participants were tested one at a time, and the experiments took approximately 20 minutes to complete.",NA,The data used in the present article are accessible at https://osf.io/g7pe3/.,https://osf.io/g7pe3/,The Additional files for this article can be found as follows: Appendix A Error Rate Analyses. DOI: https://doi.org/10.5334/joc.5.s1 Appendix B Bayesian Analyses. DOI: https://doi.org/10.5334/joc.5.s2,"https://doi.org/10.5334/joc.5.s1, https://doi.org/10.5334/joc.5.s2",NA,NA,196,30
Can Intrinsic and Extrinsic Metacognitive Cues Shield Against Distraction in Problem Solving?,2018,Research article,1,1,10.5334/joc.9,"We investigated the capacity for two different forms of metacognitive cue to shield against auditory distraction in problem solving with Compound Remote Associates Tasks (CRATs). Experiment 1 demonstrated that an intrinsic metacognitive cue in the form of processing disfluency (manipulated using an easy-to-read vs. difficult-to-read font) could increase focal task engagement so as to mitigate the detrimental impact of distraction on solution rates for CRATs. Experiment 2 showed that an extrinsic metacognitive cue that took the form of an incentive for good task performance (i.e. 80% or better CRAT solutions) could likewise eliminate the negative impact of distraction on CRAT solution rates. Overall, these findings support the view that both intrinsic and extrinsic metacognitive cues have remarkably similar effects. This suggests that metacognitive cues operate via a common underlying mechanism whereby a participant applies increased focal attention to the primary task so as to ensure more steadfast task engagement that is not so easily diverted by task-irrelevant stimuli.","Auditory Distraction, Intrinsic and Extrinsic Metacognitive Cues, Processing Fluency, Problem Solving, Task Engagement",https://www.journalofcognition.org/articles/10.5334/joc.9/,https://www.journalofcognition.org/articles/10.5334/joc.9/galley/34/download/,The authors have no competing interests to declare.,NA,"Compound Remote Associate Tasks. A series of 20 CRATs were selected and divided into two sets of 10 problems each (i.e. Set A and Set B; see Appendix) so as to serve as problem-solving stimuli that could be presented in counterbalanced orders across the irrelevant speech versus quiet conditions of the within-participants distraction manipulation. Each set was matched in terms of mean solution rates (MSet A = .49, SDSet A = .26 vs. MSet B = .50; SDSet B = .26) and mean solution times (MSet A = 8.54s, SDSet A = 2.85 vs. MSet B = 8.56s; SDSet B = 2.83) using the normative data reported by Bowden and Jung-Beeman (2003). There was no significant difference across the two sets of CRATs for either the normed solution rates or the normed solution times (both ps > .05; refer to the Appendix for the Set A and Set B CRATs with normed solution-rate and solution-time data). For the processing disfluency manipulation, half of the participants received the CRAT problems presented in Arial 12-point font (easy-to-read) and half of the participants received the problems in 12-point Haettenschweiler font (difficult-to-read). Haettenschweiler was selected because prior studies (e.g., Diemand-Yauman et al., 2010; Halin, 2016; Halin, Marsh, Haga et al., 2014, Experiment 1; Lehmann, Goussios, & Seufert, 2016) have adopted this font to promote processing disfluency. Moreover, task difficulty is typically rated as higher when materials are presented in Haettenschweiler font (e.g., Halin, Marsh, Hellman et al., 2014, Experiment 1). Irrelevant speech. A transcript of a story was used as irrelevant speech for the task-irrelevant speech condition. The story was based on a mythical civilization known as “Ansarien” and was read in English by a male, native English speaker. The Swedish language version of this irrelevant speech has been used previously in studies of distraction by irrelevant speech (e.g., Halin, Marsh, & Sörqvist, 2015). The irrelevant speech transcript lasted 7 minutes in total, of which 2 minutes was used for the experiment. The irrelevant speech was delivered to a participant via a set of headphones from a PC computer at approximately 60–65 dB(A).",NA,Anonymized data for the two experiments reported in this article may be found at: http://doi.org/10.17030/uclan.data.00000149.,http://doi.org/10.17030/uclan.data.00000149,The Additional file for this article can be found as follows: Appendix A CRAT – answer – normed mean solution rate (%) and normed mean solution time (s). DOI: https://doi.org/10.5334/joc.9.s1,https://doi.org/10.5334/joc.9.s1,NA,NA,371,96
"Pupillometry: Psychology, Physiology, and Function",2018,Review article,1,1,10.5334/joc.18,"Pupils respond to three distinct kinds of stimuli: they constrict in response to brightness (the pupil light response), constrict in response to near fixation (the pupil near response), and dilate in response to increases in arousal and mental effort, either triggered by an external stimulus or spontaneously. In this review, I describe these three pupil responses, how they are related to high-level cognition, and the neural pathways that control them. I also discuss the functional relevance of pupil responses, that is, how pupil responses help us to better see the world. Although pupil responses likely serve many functions, not all of which are fully understood, one important function is to optimize vision either for acuity (small pupils see sharper) and depth of field (small pupils see sharply at a wider range of distances), or for sensitivity (large pupils are better able to detect faint stimuli); that is, pupils change their size to optimize vision for a particular situation. In many ways, pupil responses are similar to other eye movements, such as saccades and smooth pursuit: like these other eye movements, pupil responses have properties of both reflexive and voluntary action, and are part of active visual exploration.","pupillometry, pupil light response, pupil near response, psychosensory pupil response, orienting response, eye movements",https://www.journalofcognition.org/articles/10.5334/joc.18/,https://www.journalofcognition.org/articles/10.5334/joc.18/galley/36/download/,The author has no competing interests to declare.,NA,Manuscript materials are available from:. https://github.com/smathot/pupillometry_review,https://github.com/smathot/pupillometry_review,NA,NA,NA,NA,NA,NA,7295,2496
The Instructed Task-Switch Evaluation Effect: Is the Instruction to Switch Tasks Sufficient to Dislike Task Switch Cues?,2020,Research article,3,1,10.5334/joc.90,"It is often argued that people dislike situations in which there is conflict requiring cognitive control, possibly because it is effortful to resolve this conflict. In a recent study, Vermeylen, Braem, and Notebaert (2019) provided evidence for this idea in the context of task switching. They observed that participants evaluated cues signaling a task switch more negatively than cues signaling a task repetition in a task switching paradigm. The present study examined whether this evaluative bias can be observed also on the basis of mere instructions. We instructed participants that two non-words would either signal the requirement to switch or to repeat tasks in an upcoming task switching block, which was actually never administered. In Experiment 1, we did not observe more positive implicit or explicit evaluations of the instructed task repetition compared to the task switch cue. In Experiment 2, participants first completed a task switching block in which a first pair of transition cues were used. We then provided task switching instructions that described the signaling function of a second pair of cues, which would be used in an upcoming (but never administered) second task switching block. Participants showed a clear preference for both instructed and experienced task repetition cues on explicit but not on implicit evaluations. Experiment 3 replicated the instructed task-switch evaluation effect on explicit evaluations in the context of prior task experience (but not without prior experience) and extended it to implicit evaluations. We discuss theoretical implications and potential explanations of this task-switch evaluation effect.","Social cognition, Action, Cognitive Control",https://www.journalofcognition.org/articles/10.5334/joc.90/,https://www.journalofcognition.org/articles/10.5334/joc.90/galley/229/download/,The authors have no competing interests to declare.,"The research reported in this paper was funded by the Scientific Research Foundation, Flanders under Grant FWO16/PDO/201 to PVD, and by the Ghent University Methusalem Grant BOF09/01M00209 to JDH.",NA,https://osf.io/ubp6c/,"All the materials related to this paper (the stimulus list, the data collected, the analysis scripts, and the tools that we used during the analysis) are publicly available at the Open Science Framework (https://osf.io/ubp6c/).",https://osf.io/ubp6c/,NA,NA,NA,NA,31,8
Power Analysis and Effect Size in Mixed Effects Models: A Tutorial,2018,Review article,1,1,10.5334/joc.10,"In psychology, attempts to replicate published findings are less successful than expected. For properly powered studies replication rate should be around 80%, whereas in practice less than 40% of the studies selected from different areas of psychology can be replicated. Researchers in cognitive psychology are hindered in estimating the power of their studies, because the designs they use present a sample of stimulus materials to a sample of participants, a situation not covered by most power formulas. To remedy the situation, we review the literature related to the topic and introduce recent software packages, which we apply to the data of two masked priming studies with high power. We checked how we could estimate the power of each study and how much they could be reduced to remain powerful enough. On the basis of this analysis, we recommend that a properly powered reaction time experiment with repeated measures has at least 1,600 word observations per condition (e.g., 40 participants, 40 stimuli). This is considerably more than current practice. We also show that researchers must include the number of observations in meta-analyses because the effect sizes currently reported depend on the number of stimuli presented to the participants. Our analyses can easily be applied to new datasets gathered.","power analysis, effect size, mixed effects models, random factors, F1 analysis, F2 analysis",https://www.journalofcognition.org/articles/10.5334/joc.10/,https://www.journalofcognition.org/articles/10.5334/joc.10/galley/20/download/,The authors have no competing interests to declare.,NA,NA,NA,NA,NA,"The Additional files for this article can be found as follows: Adelman with two levels An Excel file containing all observations of the Adelman et al. (2014) study with the prime conditions simplified to high and low. DOI: https://doi.org/10.5334/joc.10.s1 Adelman with three levels Another Excel file containing the observations of Adelman et al. (2014) with three levels of priming: high, medium, low. DOI: https://doi.org/10.5334/joc.10.s2 Analysis Adelman An R file to analyze the two previous Excel files (can be opened with all text processors). DOI: https://doi.org/10.5334/joc.10.s3 Perea data Excel file containing all observations of the Perea et al. (2015) study. DOI: https://doi.org/10.5334/joc.10.s4 Analysis Perea An R file to analyze the Perea et al. data. DOI: https://doi.org/10.5334/joc.10.s5 The files are also available at: https://osf.io/fhrc6/. They can be used to start simulations aimed at the specific questions individual researchers may have or to check the correctness of analyses done on other datasets.",https://osf.io/fhrc6/,NA,NA,17290,4923
Introducing the Journal of Cognition,2017,Editorial,1,1,10.5334/joc.1,NA,NA,https://www.journalofcognition.org/articles/10.5334/joc.1/,https://www.journalofcognition.org/articles/10.5334/joc.1/galley/3/download/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8105,2737
Temporal Context Influences the Perceived Duration of Everyday Actions: Assessing the Ecological Validity of Lab-Based Timing Phenomena,2018,Research article,1,1,10.5334/joc.4,"Timing is key to accurate performance, for example when learning a new complex sequence by mimicry. However, most timing research utilizes artificial tasks and simple stimuli with clearly marked onset and offset cues. Here we address the question whether existing interval timing findings generalize to real-world timing tasks. In this study, animated video clips of a person performing different everyday actions were presented and participants had to reproduce the main action’s duration. Although reproduced durations are more variable then observed in laboratory studies, the data adheres to two interval timing laws: Relative timing sensitivity is constant across durations (scalar property), and the subjective duration of a previous action influenced the current action’s perceived duration (temporal context effect). Taken together, this demonstrates that laboratory findings generalize, and paves the way for studying interval timing as a component of complex, everyday cognitive performance.","Time perception, Memory, Event cognition",https://www.journalofcognition.org/articles/10.5334/joc.4/,https://www.journalofcognition.org/articles/10.5334/joc.4/galley/6/download/,The authors have no competing interests to declare.,NA,"Participants Twenty-three students enrolled in the Psychology programme of the University of Groningen (mean age: 19.3 years, range: 18–22 years, 17 female) participated in the experiment and received partial course credit. Sample size was based on past research (e.g., 12 participants in Carrozzo & Lacquaniti, 2013; 38 participants in van Rijn, 2014). All participants had normal or corrected-to-normal vision. Informed consent as approved by the Psychology Ethical Committee of the University of Groningen (15008-NE) was obtained before testing. Stimuli Videos of an animated human reference model (see below for details) performing six different actions recorded from third- and first-person perspectives and performed over shorter or longer durations served as stimuli. The actions were drink (figure drinks from a cup), mix (figure uses a whisk to mix something in a bowl), pour (figure pours a liquid into a cup), put on (figure picks up a bowl and puts it on another object), take down (figure picks up a bowl placed on another object and puts it down on the table), and pick & place (figure picks up a whisk and puts it down at a different location on the table). All action-related objects were located on a table before and put back on the table after the actions were performed. Importantly, video length was not correlated with the speed of the action (e.g., drinking fast), but video length determined how long an action, performed at normal speed, was executed. Animated videos were based on video recordings of a human actress performing each of the six actions over different time spans (Figure 1, top row). Movements were recorded by a marker-based motion capture system (VICON, http://www.vicon.com, sampling rate of 100 Hz, marker position accuracy < 1 mm). Human movement recordings were encoded using the Master Motor Map (MMM) toolkit (Terlemez et al., 2015), which is underlying a generic framework for unified representation and transfer of whole-body human motions to different embodiments (e.g., humanoid robots or animated characters). Finally, the scene and the animated human reference model were generated with MMM-based animated characters and 3D object models (e.g., a red cup) as described in Wächter and Asfour (2015) and illustrated in Figure 1. The entire motion data set, including MMM representations and object models, is publicly available as a part of the KIT whole-body human motion database (available at: https://motion-database.humanoids.kit.edu/) (Mandery, Terlemez, Do, Vahrenkamp, & Asfour, 2015). We chose to use an animated human reference model instead of human actors to control for confounding factors like variations in background noise or emotions conveyed by facial expressions (e.g., Fayolle & Droit-Volet, 2014). With 6 actions, 2 perspectives, and 2 length condition, a total of 24 animated videos were created to be used as stimuli. Procedure Participants were seated, at normal operating distance, in front of a Iiyama Vision Master Pro 513, 22 inch screen with a resolution of 1024 × 768 px and a refresh rate setting of 100 Hz. Participants were provided with instructions informing them that they would be asked to reproduce the duration of an action observed in the video presented on that trial. Each experimental trial started with the presentation of a short text describing the action that would be presented (e.g., “mixing”). After 3 s, one of the 24 videos was presented centrally with a resolution of 960 × 540 pixels. After the end of the video the screen went blank for 1 s, followed by a grey circle presented in the centre of the screen. This circle indicated that participants could reproduce the duration of the action by pressing down the spacebar. As a visual aid, the grey circled turned white while the spacebar was pressed down (i.e. during the interval reproduction). One additional trial sampled randomly from the 24 available videos served as a practice trial at the beginning of the experiment. Data from this trial were not analysed. Importantly, no explicit instructions (or visual or auditory aids) were provided to indicate when an interval was supposed to start or end; the start- and endpoints of a specific action had to be determined by the participants themselves. However, it was explicitly stated in the instructions that the start- and endpoint of the action would not necessarily coincide with the start and end of the video. Videos were presented in random order. Each video was presented four times, resulting in a total of 96 trials. The experiment was programmed in OpenSesame version 3.0.3 (Mathôt, Schreij, & Theeuwes, 2012). The experimental script is available online at: http://osf.io/y9zex. Objective Durations To compare the reproduced durations to objective durations, we computed objective durations using the Semantic Event Chain (SEC) extraction algorithm that is used in AI and robotics to decompose actions or action sequences into atomic (sub-)actions (Aksoy, Aein, Tamosiunaite, & Worgotter, 2015; Wächter & Asfour, 2015). During SEC extraction, videos are examined and segmented according to spatiotemporal hand-object relations and actions can be categorized (e.g., approach, grasp, withdraw) based on semantic object-object and object-hand contact relations. Based on this segmentation process, we defined the duration of the main action as lasting from the first contact with the involved object until letting go of that object, resulting in the following durations (ordered from shortest to longest): 0.83s (take down short version), 0.96s (put on short), 1.07s (pick & place short), 1.82s (pick & place long), 1.88s (put on long), 2.32s (drink short), 3.02s (take down long), 3.24s (mix short), 3.68s (pour short), 6.63s (mix long), 8.06s (pour long), 8.92s (drink long). We validated this algorithm in an additional experiment (see Supplemental Material available at: https://osf.io/y9zex). Data Analysis The data analyses focused on three main questions: (1) Do the local and global context influence the perceived duration; (2) Is there an effect of perspective on perceived duration; (3) Is the scalar property observed in these data, operationalized by two different measures discussed below. For these analyses, we created Linear Mixed Models (LMMs) using the lme4 package (version 1.1–10; Bates, Mächler, Bolker, & Walker, 2014) in R version 3.2.2 (R Development Core Team, 2008). To test whether including a fixed factor improved the LMM, we performed model comparisons using likelihood ratio tests. Participant and action were always entered as random intercepts. After model comparison, we sequentially added random slopes for participant and the fixed factors, and action and the fixed factors (excluding objective duration), to the model to test whether this affected the results. In all LMM analyses, we found that the random slopes did not change the effects of the fixed factors qualitatively. Therefore, we will report the results of the simpler random intercept models here. For both significant and non-significant fixed factors in the LMMs, we used Bayesian analyses to quantify the evidence in favour of the alternative hypothesis. To this end, we compared the model including the fixed factor with the model without the factor using the lmBF function from the BayesFactor package in R (Morey, Rouder, & Jamil, 2014). The evidence for H1 over H0 will be denoted as BF10. All analysis scripts and data are available at: http://osf.io/y9zex. First, we tested the data for context effects. To test whether there was a global pull towards the (subjective) mean, an LMM was estimated with bias (the difference between the reproduction and the objective duration) as dependent variable and objective lag as fixed factor. Whereas perfect reproduction would yield a bias that is consistently 0 over durations, a pull towards the mean would result in a negative effect of duration on bias. To investigate local context effects, we tested the effect of the previous (n-1, n-2, …) subjective duration (i.e. the previous produced duration) and the previous objective duration (i.e. the objective duration of the action, as provided by the action segmentation algorithm) on the current trial (i.e. the current produced duration). Reproduced action duration was entered as dependent variable. Objective duration of the current trial, perspective, and previous subjective or objective trial duration were entered as predictors. Following Taatgen and van Rijn (2011), we iteratively compared more complex models (e.g., a model including n-3, n-2, n-1) with simpler models (e.g., a model including n-2 and n-1). The same model comparison approach was used to test for effects of perspective. To test the data for the scalar property, following Wearden and Lejeune (2008), the coefficient of determination (r2) was determined by correlating the standard deviation of the reproduced action duration (S), averaged over all participants, with the mean reproduced duration (M) of each action in the long and short condition separately (i.e. for the 12 unique action-duration combinations, data from the different perspectives was pooled together). Additionally, the coefficient of variation (CV = S ÷ M) was calculated for each video and participant separately. An LMM was constructed to assess the influence of duration on CV, testing whether CVs differed across action durations.","http://www.vicon.com, https://motion-database.humanoids.kit.edu/, http://osf.io/y9zex, https://osf.io/y9zex, http://osf.io/y9zex",All scripts to run the experiments and analyses as well as all data can be accessed at https://doi.org/10.17605/OSF.IO/Y9ZEX.,https://doi.org/10.17605/OSF.IO/Y9ZEX,NA,NA,"This research has been partially supported by the EU Horizon 2020 FET Proactive grant TIMESTORM – Mind and Time: Investigation of the Temporal Traits of Human-Machine Convergence (grant no. 641100). The funding agency had no involvement in the design of the study, the analysis of the data, writing of the report, or in the decision to submit the article for publication.","All authors contributed to the study design, which was programmed and developed by Sabine Scholz. Videos were recorded by E.E. Aksoy, M. Wächter and T. Asfour. Testing and data collection were performed by N. Schlichting and A. Damsma; data analysis was performed by N. Schlichting, A. Damsma, and H. van Rijn. All authors approved the final version of the manuscript for submission.",1044,179
On the Right Track? Investigating the Effect of Path Characteristics on Visuospatial Bootstrapping in Verbal Serial Recall,2017,Research article,1,1,10.5334/joc.2,"Visuospatial bootstrapping (VSB) occurs when memory for verbal material is enhanced via association with meaningful visuospatial information. Sequences of digits are visually presented either in the center of the screen or within a keypad layout in which the digits may be arranged identically to familiar pin pad and mobile phone layouts, or randomly. Recall is consistently higher when digits are presented in the familiar layout. This “bootstrapping” could involve primarily long-term knowledge of the layout, primarily short-term memory of the unique spatial path, or may depend on both. We manipulated the path complexity of sequences to test whether the VSB effect depends on the quality of spatial representations in conjunction with the familiarity of the spatial layout in two experiments. We consistently observed both VSB effects and path complexity effects on verbal serial recall, but never observed any interaction between these factors, even when articulatory suppression was imposed. Analysis of recall by serial position revealed that the VSB effect was focused on the end-of-list items. Our finding of pervasive path complexity effects on verbal serial recall suggests incidental encoding of spatial path occurs during visually-presented verbal tasks regardless of layout familiarity, confirming that spatial factors can affect verbal recall, but ruling out the notion that incidental spatial paths are uniquely and voluntarily encoded with familiar layouts.","working memory, spatial memory, serial recall, visual short-term memory, path complexity",https://www.journalofcognition.org/articles/10.5334/joc.2/,https://www.journalofcognition.org/articles/10.5334/joc.2/galley/9/download/,Candice Morey is Editor in Chief of the Journal of Cognition and was removed from all editorial processing for this paper. The authors have no other competing interests to declare.,NA,NA,"https://osf.io/9g5sv/, https://doi.org/10.17605/OSF.IO/9G5SV, https://osf.io/9g5sv/, MoreyC@cardiff.ac.uk",Anonymized data and materials associated with this project may be found on the Open Science Framework (https://osf.io/9g5sv/). DOI: https://doi.org/10.17605/OSF.IO/9G5SV,"https://osf.io/9g5sv/, https://doi.org/10.17605/OSF.IO/9G5SV","The Additional files for this article can be found as follows: Appendix A Digit Sequences, Experiment 1. DOI: https://doi.org/10.5334/joc.1.s1 Appendix B Reduced Digit Sequences, Experiment 2. DOI: https://doi.org/10.5334/joc.1.s2","https://doi.org/10.5334/joc.1.s1, https://doi.org/10.5334/joc.1.s2",NA,NA,914,395
Perceptual Processing is Not Spared During the Attentional Blink,2018,Research article,1,1,10.5334/joc.20,"Identification of the second of two targets is impaired when these appear within 500 ms of each other. This phenomenon, known as the attentional blink (AB) is thought to reflect disrupted post-perceptual processing. Yet, decisive empirical support for this claim is lacking. We measured the depth of the AB, while manipulating the second target’s reporting feature. We reasoned that if perceptual processing is unaffected by the blink, all the features of the blinked target should have equal access to working memory. In contrast with this prediction, we found identity and semantic-category reports to be more severely impaired by the blink than color reports, although baseline performance was similar in the two report conditions. These findings suggest that high-level features are more poorly represented in working memory than low-level features during the blink. We conclude that the attentional blink disrupts perceptual processing. Implications for contemporary models of the attentional blink are discussed.","Attention, Semantics, Word processing, Visual perception, Consciousness, Working memory",https://www.journalofcognition.org/articles/10.5334/joc.20/,https://www.journalofcognition.org/articles/10.5334/joc.20/galley/40/download/,The authors have no competing interests to declare.,NA,NA,https://doi.org/10.5334/joc.20.s1,Data from all experiments is available at figshare (https://doi.org/10.6084/m9.figshare.5492611).,https://doi.org/10.6084/m9.figshare.5492611,The Additional file for this article can be found as follows: Supplementary materials Distractor Intrusion Analysis. DOI: https://doi.org/10.5334/joc.20.s1,https://doi.org/10.5334/joc.20.s1,NA,NA,351,140
