access,access_bool,open_data,open_materials,preregistration,year,url
Free Access,1,0,0,0,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,1,1,0,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,1,1,1,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,1,0,0,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,1,1,0,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,1,1,0,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,1,1,1,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,0,1,1,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,0,0,0,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,0,0,0,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,0,0,1,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,0,0,0,2020,https://journals.sagepub.com/toc/pssa/31/1
Full Access,1,0,0,0,2020,https://journals.sagepub.com/toc/pssa/31/1
Full Access,1,0,0,0,2020,https://journals.sagepub.com/toc/pssa/31/1
Full Access,1,0,0,0,2020,https://journals.sagepub.com/toc/pssa/31/1
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
Open Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
Open Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,0,1,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/2
Open Access,1,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/2
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
Full Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/1
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/3
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/3
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/3
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/3
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/3
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/3
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/3
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/3
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/3
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/3
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/3
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/3
Full Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/3
Free Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/3
Free Access,1,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
Open Access,1,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,1,1,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,1,1,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,1,1,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,1,1,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,1,1,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,1,1,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,0,0,0,2015,https://journals.sagepub.com/toc/pssa/26/12
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,1,1,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,1,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
Open Access,1,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
No Access,0,0,0,0,2016,https://journals.sagepub.com/toc/pssa/27/5
